"user.id";"product_id"
16046;"174"
16046;"182"
16046;"173"
16046;"185"
16046;"180"
16046;"181"
10395;"179"
10395;"182"
10395;"173"
11237;"188"
11237;"173"
11237;"189"
11237;"185"
12532;"168"
12532;"174"
18536;"188"
18536;"176"
18536;"179"
18560;"188"
18560;"179"
16770;"177"
16770;"170"
10351;"184"
10351;"172"
10351;"189"
15812;"183"
15812;"174"
15812;"184"
19145;"179"
19145;"174"
19145;"180"
19145;"182"
19145;"184"
19145;"167"
10009;"174"
10009;"188"
16136;"176"
16136;"179"
15190;"171"
15190;"175"
15190;"170"
15190;"177"
15190;"169"
12751;"175"
12751;"170"
12444;"182"
12444;"183"
16903;"171"
16903;"172"
16903;"174"
19302;"188"
19302;"167"
15249;"176"
15249;"174"
15325;"174"
15325;"170"
18282;"174"
18282;"169"
18282;"184"
18282;"186"
11595;"171"
11595;"168"
11595;"174"
17844;"170"
17844;"177"
17844;"185"
17844;"182"
17844;"173"
10188;"188"
10188;"184"
12220;"179"
12220;"188"
12220;"175"
14448;"188"
14448;"168"
13446;"171"
13446;"174"
15713;"174"
15713;"175"
16868;"174"
16868;"176"
16868;"186"
14561;"170"
14561;"177"
13288;"173"
13288;"182"
19532;"188"
19532;"184"
19532;"175"
19532;"172"
13643;"169"
13643;"174"
13643;"184"
13188;"184"
13188;"169"
19562;"184"
19562;"175"
15573;"185"
15573;"170"
15573;"169"
15573;"175"
15200;"188"
15200;"169"
11209;"177"
11209;"170"
19367;"175"
19367;"188"
12615;"180"
12615;"179"
12615;"176"
15596;"183"
15596;"174"
15596;"168"
18968;"170"
18968;"172"
18968;"177"
14639;"170"
14639;"189"
12334;"188"
12334;"179"
10938;"175"
10938;"169"
13321;"174"
13321;"175"
14363;"168"
14363;"171"
12122;"175"
12122;"180"
19951;"184"
19951;"172"
12203;"183"
12203;"174"
12203;"168"
12203;"184"
12203;"170"
12203;"169"
12203;"175"
15202;"174"
15202;"167"
14056;"176"
14056;"189"
14056;"186"
14056;"170"
14056;"179"
14056;"180"
14056;"177"
14056;"172"
15236;"169"
15236;"187"
11459;"188"
11459;"176"
11459;"175"
13765;"188"
13765;"185"
13699;"168"
13699;"183"
13699;"174"
13108;"179"
13108;"184"
17083;"184"
17083;"174"
17083;"173"
17083;"170"
17083;"169"
19782;"188"
19782;"170"
19782;"174"
19782;"186"
19782;"172"
19782;"173"
19782;"176"
19782;"177"
19782;"178"
19782;"179"
19782;"180"
19782;"181"
19782;"167"
19782;"184"
16207;"179"
16207;"183"
16207;"174"
14623;"183"
14623;"175"
17077;"182"
17077;"175"
19050;"183"
19050;"174"
18674;"188"
18674;"183"
18674;"177"
18674;"189"
17829;"177"
17829;"168"
17829;"174"
17829;"183"
17829;"171"
19060;"188"
19060;"173"
19060;"179"
19060;"177"
14742;"174"
14742;"176"
11032;"168"
11032;"172"
18886;"167"
18886;"181"
18886;"189"
18886;"187"
18886;"179"
18886;"171"
17734;"173"
17734;"170"
17734;"186"
17734;"179"
15334;"170"
15334;"176"
15334;"169"
15334;"190"
16604;"169"
16604;"188"
15253;"190"
15253;"170"
11135;"173"
11135;"174"
11135;"179"
11135;"189"
11135;"170"
16887;"187"
16887;"167"
16887;"190"
16887;"189"
16887;"188"
16887;"186"
16887;"185"
19288;"188"
19288;"174"
19288;"184"
17300;"184"
17300;"183"
17300;"168"
17300;"174"
13701;"172"
13701;"175"
19386;"174"
19386;"167"
19386;"188"
10153;"189"
10153;"188"
15367;"189"
15367;"185"
15367;"179"
15367;"178"
19128;"188"
19128;"179"
19837;"170"
19837;"177"
18073;"175"
18073;"184"
18073;"169"
13676;"174"
13676;"171"
16021;"175"
16021;"170"
16021;"177"
16021;"169"
10612;"175"
10612;"179"
12120;"174"
12120;"172"
19173;"190"
19173;"187"
19173;"184"
19173;"183"
19289;"168"
19289;"174"
19289;"167"
14516;"184"
14516;"183"
14516;"174"
14516;"172"
19181;"189"
19181;"170"
18177;"184"
18177;"183"
11987;"186"
11987;"170"
14298;"184"
14298;"182"
14298;"173"
14338;"170"
14338;"173"
14338;"188"
14338;"172"
14338;"190"
14779;"177"
14779;"184"
14779;"170"
11563;"176"
11563;"173"
11563;"178"
11563;"175"
11563;"167"
11563;"172"
11563;"174"
11563;"170"
11563;"168"
11563;"182"
11563;"179"
11563;"169"
11563;"184"
16900;"169"
16900;"168"
16900;"182"
16900;"181"
15181;"179"
15181;"188"
18706;"180"
18706;"179"
18706;"175"
19053;"190"
19053;"188"
19053;"179"
18176;"169"
18176;"184"
17109;"172"
17109;"171"
17109;"169"
18530;"174"
18530;"175"
18565;"174"
18565;"182"
18565;"183"
14039;"174"
14039;"190"
14039;"188"
18411;"167"
18411;"169"
18411;"184"
19494;"175"
19494;"188"
13599;"173"
13599;"182"
12845;"186"
12845;"182"
12845;"181"
12845;"183"
12845;"188"
12845;"170"
12845;"176"
12845;"177"
12845;"175"
12845;"167"
15470;"175"
15470;"170"
15470;"187"
15470;"173"
14301;"183"
14301;"179"
14301;"175"
14301;"174"
17646;"175"
17646;"174"
16815;"175"
16815;"184"
15754;"169"
15754;"172"
15754;"177"
15754;"183"
15754;"184"
16700;"171"
16700;"184"
17841;"174"
17841;"184"
14241;"185"
14241;"182"
14484;"181"
14484;"175"
18574;"182"
18574;"180"
18574;"173"
18574;"185"
18574;"174"
18574;"170"
18574;"184"
18574;"190"
18574;"187"
18574;"179"
12486;"173"
12486;"170"
12486;"177"
12486;"182"
12684;"183"
12684;"172"
11342;"174"
11342;"175"
16765;"174"
16765;"179"
15422;"184"
15422;"174"
11015;"182"
11015;"188"
16103;"188"
16103;"184"
10384;"168"
10384;"169"
10384;"185"
16885;"189"
16885;"168"
16885;"169"
16885;"170"
16885;"171"
16885;"173"
16885;"174"
16885;"175"
16885;"177"
16885;"180"
16885;"181"
19271;"172"
19271;"177"
19271;"170"
19271;"184"
12072;"178"
12072;"187"
12072;"180"
12072;"173"
14532;"168"
14532;"174"
14532;"183"
19233;"185"
19233;"186"
19233;"178"
19233;"177"
17765;"177"
17765;"170"
13999;"171"
13999;"170"
13999;"182"
13999;"168"
13999;"190"
16937;"178"
16937;"176"
11873;"171"
11873;"174"
12832;"175"
12832;"177"
12832;"172"
12832;"174"
12832;"184"
12832;"170"
16133;"180"
16133;"174"
16133;"173"
17638;"188"
17638;"179"
13802;"188"
13802;"168"
15280;"188"
15280;"177"
18431;"170"
18431;"174"
13190;"186"
13190;"190"
13190;"177"
13190;"174"
13190;"172"
13190;"171"
13190;"170"
13190;"168"
13190;"184"
13190;"183"
13190;"179"
13190;"173"
13190;"180"
13190;"182"
19017;"188"
19017;"168"
15383;"179"
15383;"182"
10613;"167"
10613;"184"
10613;"174"
14321;"181"
14321;"182"
14321;"176"
14321;"173"
14321;"180"
14321;"178"
18826;"188"
18826;"185"
18826;"174"
18826;"187"
18826;"186"
18826;"170"
18826;"175"
18826;"183"
